色号,已购库存_颗,最终需求_颗,扣除需求后余额_负数为缺货,缺失数量_颗,缺货必买X数_1X等于1000颗,缺货必买_颗,必买后余量_颗,低于300建议追加X数,全部采纳合计X数,建议购买合计_颗,建议购买后余量_颗,购买分类,说明
A1,1000,740,260,0,0X,0,260,1X,1X,1000,1260,低库存建议补购,补齐缺口后余量少于300，建议额外补购1k
A2,1000,691,309,0,0X,0,309,0X,0X,0,309,无需购买,
A3,1000,162,838,0,0X,0,838,0X,0X,0,838,无需购买,
A4,1000,797,203,0,0X,0,203,1X,1X,1000,1203,低库存建议补购,补齐缺口后余量少于300，建议额外补购1k
A5,1000,842,158,0,0X,0,158,1X,1X,1000,1158,低库存建议补购,补齐缺口后余量少于300，建议额外补购1k
A6,1000,601,399,0,0X,0,399,0X,0X,0,399,无需购买,
A7,1000,472,528,0,0X,0,528,0X,0X,0,528,无需购买,
A8,1000,521,479,0,0X,0,479,0X,0X,0,479,无需购买,
A9,1000,109,891,0,0X,0,891,0X,0X,0,891,无需购买,
A10,1000,294,706,0,0X,0,706,0X,0X,0,706,无需购买,
A11,1000,12,988,0,0X,0,988,0X,0X,0,988,无需购买,
A12,1000,48,952,0,0X,0,952,0X,0X,0,952,无需购买,
A13,1000,539,461,0,0X,0,461,0X,0X,0,461,无需购买,
A14,1000,374,626,0,0X,0,626,0X,0X,0,626,无需购买,
A15,1000,393,607,0,0X,0,607,0X,0X,0,607,无需购买,
A16,1000,283,717,0,0X,0,717,0X,0X,0,717,无需购买,
A17,1000,395,605,0,0X,0,605,0X,0X,0,605,无需购买,
A18,1000,276,724,0,0X,0,724,0X,0X,0,724,无需购买,
A19,1000,155,845,0,0X,0,845,0X,0X,0,845,无需购买,
A20,2000,997,1003,0,0X,0,1003,0X,0X,0,1003,无需购买,
A21,1000,204,796,0,0X,0,796,0X,0X,0,796,无需购买,
A22,1000,37,963,0,0X,0,963,0X,0X,0,963,无需购买,
A23,1000,165,835,0,0X,0,835,0X,0X,0,835,无需购买,
A24,1000,344,656,0,0X,0,656,0X,0X,0,656,无需购买,
A25,1000,348,652,0,0X,0,652,0X,0X,0,652,无需购买,
A26,1000,455,545,0,0X,0,545,0X,0X,0,545,无需购买,
B1,1000,0,1000,0,0X,0,1000,0X,0X,0,1000,无需购买,本次需求未使用此色
B2,1000,29,971,0,0X,0,971,0X,0X,0,971,无需购买,
B3,1000,352,648,0,0X,0,648,0X,0X,0,648,无需购买,
B4,1000,0,1000,0,0X,0,1000,0X,0X,0,1000,无需购买,本次需求未使用此色
B5,1000,790,210,0,0X,0,210,1X,1X,1000,1210,低库存建议补购,补齐缺口后余量少于300，建议额外补购1k
B6,1000,0,1000,0,0X,0,1000,0X,0X,0,1000,无需购买,本次需求未使用此色
B7,1000,479,521,0,0X,0,521,0X,0X,0,521,无需购买,
B8,1000,1120,-120,120,1X,1000,880,0X,1X,1000,880,缺货必买,
B9,1000,1429,-429,429,1X,1000,571,0X,1X,1000,571,缺货必买,
B10,1000,648,352,0,0X,0,352,0X,0X,0,352,无需购买,
B11,1000,670,330,0,0X,0,330,0X,0X,0,330,无需购买,
B12,1000,993,7,0,0X,0,7,1X,1X,1000,1007,低库存建议补购,补齐缺口后余量少于300，建议额外补购1k
B13,1000,279,721,0,0X,0,721,0X,0X,0,721,无需购买,
B14,1000,112,888,0,0X,0,888,0X,0X,0,888,无需购买,
B15,1000,949,51,0,0X,0,51,1X,1X,1000,1051,低库存建议补购,补齐缺口后余量少于300，建议额外补购1k
B16,1000,133,867,0,0X,0,867,0X,0X,0,867,无需购买,
B17,2000,1720,280,0,0X,0,280,1X,1X,1000,1280,低库存建议补购,补齐缺口后余量少于300，建议额外补购1k
B18,1000,42,958,0,0X,0,958,0X,0X,0,958,无需购买,
B19,1000,560,440,0,0X,0,440,0X,0X,0,440,无需购买,
B20,1000,825,175,0,0X,0,175,1X,1X,1000,1175,低库存建议补购,补齐缺口后余量少于300，建议额外补购1k
B21,1000,634,366,0,0X,0,366,0X,0X,0,366,无需购买,
B22,1000,629,371,0,0X,0,371,0X,0X,0,371,无需购买,
B23,1000,587,413,0,0X,0,413,0X,0X,0,413,无需购买,
B24,1000,7,993,0,0X,0,993,0X,0X,0,993,无需购买,
B25,1000,152,848,0,0X,0,848,0X,0X,0,848,无需购买,
B26,1000,566,434,0,0X,0,434,0X,0X,0,434,无需购买,
B27,1000,215,785,0,0X,0,785,0X,0X,0,785,无需购买,
B28,1000,0,1000,0,0X,0,1000,0X,0X,0,1000,无需购买,本次需求未使用此色
B29,1000,86,914,0,0X,0,914,0X,0X,0,914,无需购买,
B30,1000,0,1000,0,0X,0,1000,0X,0X,0,1000,无需购买,本次需求未使用此色
B31,1000,216,784,0,0X,0,784,0X,0X,0,784,无需购买,
B32,1000,191,809,0,0X,0,809,0X,0X,0,809,无需购买,
