palette,totalColors,totalBeads,coveredColors,coveredBeads,buyColorCount,buyNeedBeads,buyRoundedBy1k
96,147,49306,73,29499,74,19807,81000
120,147,49306,86,32504,61,16802,67000
144,147,49306,105,37407,42,11899,47000
168,147,49306,114,38809,33,10497,38000

MARD 96 buy colors
colorKey,need,buyCount,note
A1,110,1000,Image1:99;Image31:11
A5,45,1000,Image5:8;Image10:37
A8,189,1000,Image4:58;Image15:54;Image17:29;Image27:40;Image31:8
A9,4,1000,Image4:4
A12,6,1000,Image26:6
A16,133,1000,Image4:133
A18,74,1000,Image15:29;Image24:45
A20,692,1000,Image4:139;Image5:532;Image24:6;Image30:15
A22,103,1000,Image23:103
A23,61,1000,Image1:22;Image4:39
A26,16,1000,Image5:16
B1,191,1000,Image23:191
B11,152,1000,Image29:152
B15,1818,2000,Image29:1818
B25,84,1000,Image4:14;Image10:50;Image15:20
B26,19,1000,Image4:11;Image27:8
B29,220,1000,Image23:220
C4,13,1000,Image4:13
C12,382,1000,Image25:382
C18,2,1000,Image1:2
C20,17,1000,Image1:17
C24,92,1000,Image1:92
C26,41,1000,Image1:41
C28,3,1000,Image1:3
C29,90,1000,Image20:90
D1,11,1000,Image1:11
D4,471,1000,Image20:471
D17,79,1000,Image1:73;Image24:6
D22,6,1000,Image5:6
D26,92,1000,Image1:92
E16,578,1000,Image4:88;Image5:1;Image10:244;Image19:171;Image35:74
E18,158,1000,Image1:158
E19,66,1000,Image1:66
E20,113,1000,Image1:113
E22,5,1000,Image1:5
E23,55,1000,Image1:5;Image16:50
F15,2166,3000,Image7:2134;Image26:4;Image31:28
F16,13,1000,Image1:13
F18,11,1000,Image27:11
F19,70,1000,Image5:61;Image27:9
F21,101,1000,Image1:46;Image24:53;Image33:2
F22,674,1000,Image1:114;Image28:123;Image30:316;Image31:1;Image33:120
F24,8,1000,Image26:4;Image35:4
G4,422,1000,Image5:84;Image14:4;Image16:67;Image34:13;Image35:254
G6,117,1000,Image4:8;Image5:1;Image9:15;Image10:2;Image24:25;Image26:36;Image27:30
G10,10,1000,Image5:10
G11,11,1000,Image31:11
G12,2,1000,Image5:2
G16,395,1000,Image4:20;Image5:16;Image10:293;Image24:66
G18,1636,2000,Image4:120;Image12:1113;Image26:403
G19,290,1000,Image4:168;Image8:12;Image19:84;Image26:26
G20,124,1000,Image14:71;Image16:16;Image27:37
G21,181,1000,Image1:2;Image4:109;Image5:15;Image16:22;Image34:33
H8,2,1000,Image4:2
H9,1106,2000,Image5:38;Image14:2;Image16:1066
H10,73,1000,Image2:67;Image4:6
H11,624,1000,Image1:6;Image2:38;Image4:22;Image14:328;Image16:47;Image22:183
H12,270,1000,Image23:270
H14,51,1000,Image1:12;Image4:39
H15,7,1000,Image1:7
H16,2515,3000,Image1:3;Image2:2144;Image14:2;Image34:366
H17,152,1000,Image4:116;Image5:36
H18,212,1000,Image4:209;Image14:3
H20,14,1000,Image1:14
H23,152,1000,Image1:2;Image16:74;Image25:23;Image34:53
M1,67,1000,Image9:31;Image34:36
M2,379,1000,Image4:11;Image10:11;Image15:23;Image29:334
M3,13,1000,Image1:3;Image34:10
M4,579,1000,Image16:567;Image26:2;Image34:10
M7,611,1000,Image1:25;Image2:56;Image16:157;Image25:177;Image30:25;Image34:171
M8,82,1000,Image1:20;Image16:48;Image34:14
M10,37,1000,Image1:37
M14,31,1000,Image4:28;Image32:3
M15,408,1000,Image1:18;Image2:231;Image4:34;Image25:40;Image34:85

MARD 120 buy colors
colorKey,need,buyCount,note
A16,133,1000,Image4:133
A18,74,1000,Image15:29;Image24:45
A20,692,1000,Image4:139;Image5:532;Image24:6;Image30:15
A22,103,1000,Image23:103
A23,61,1000,Image1:22;Image4:39
A26,16,1000,Image5:16
B25,84,1000,Image4:14;Image10:50;Image15:20
B26,19,1000,Image4:11;Image27:8
B29,220,1000,Image23:220
C12,382,1000,Image25:382
C18,2,1000,Image1:2
C20,17,1000,Image1:17
C24,92,1000,Image1:92
C26,41,1000,Image1:41
C28,3,1000,Image1:3
C29,90,1000,Image20:90
D4,471,1000,Image20:471
D22,6,1000,Image5:6
D26,92,1000,Image1:92
E16,578,1000,Image4:88;Image5:1;Image10:244;Image19:171;Image35:74
E18,158,1000,Image1:158
E19,66,1000,Image1:66
E20,113,1000,Image1:113
E22,5,1000,Image1:5
E23,55,1000,Image1:5;Image16:50
F15,2166,3000,Image7:2134;Image26:4;Image31:28
F16,13,1000,Image1:13
F18,11,1000,Image27:11
