,,,,A16,A16,A16,,H7,,,,,,A4,,,C3,C3,,,C3,A16,A16,C3,C9,D4,C6,A16,H2,C6,C3,A16,A16,C3,C9,D4,C6,C3,C3,C6,D4,C6,D4,C9,C6,C6,C6,C6,C6,C9,
,,H7,,A16,A16,A16,,H7,,,,A4,A4,A4,,C3,A16,,C3,,C3,A16,A16,C3,C9,D4,D4,A16,A16,D4,C3,A16,A16,C3,C6,C6,C3,A16,A16,C3,C6,D4,C9,C6,B10,A16,A16,A16,B10,C6,
,H7,H7,,,,,,H7,H7,,,,,A4,,C3,A16,A16,C3,,C6,C3,C3,C6,D4,C6,C9,C9,D4,C9,D4,C3,C3,C9,D4,C6,C3,A16,A4,C3,C6,D4,C6,B10,A16,A4,,A4,A16,B10,
,H7,H7,H7,,,,,H7,H7,,A4,A4,,,,,C3,C3,,,C3,C9,D4,D4,C6,C9,A16,A4,C9,C3,C6,D4,D4,D4,C6,D4,C6,C3,C3,C6,H7,D4,B10,A16,A4,A4,A16,A16,,B10,
H7,H7,H7,H7,,,,B15,H7,H7,,,,,,,,,,,,C9,D4,C6,C9,D4,C9,A4,A16,C9,H7,C9,C6,C3,C3,C6,C3,D4,C6,C6,C6,C6,C9,B10,A16,,,A16,A16,A16,B10,
,H7,H7,,H7,,,B15,H7,H7,,,,,D4,C9,D4,H7,H7,,,D4,C9,C3,D4,C6,D4,C9,C9,C6,C3,H2,,,,H2,C3,C3,C6,C9,C6,H2,H2,B10,A16,A4,A4,A16,A16,,B10,
,H7,H7,,H7,,,B15,H7,H7,B15,,H7,,D4,C9,D4,H7,H7,,,C6,H7,C9,C9,C9,C6,C6,C6,H2,A16,A4,C3,C3,C3,C3,A16,C3,C3,D4,H2,A16,A16,H2,B10,A16,A4,,A4,A16,B10,
H7,H7,H7,H7,H7,,,H7,H7,H7,B15,,H7,,,,,,,,,A16,C6,C3,C3,C3,C3,C3,H2,C3,C3,H7,C9,C3,C9,C6,C3,H2,C3,C3,C9,A4,A16,H2,C6,B10,A16,A16,A16,B10,C6,
,H7,H7,H7,,,B15,H7,H7,H7,B15,H7,H7,,,,B15,A4,,,,C6,C3,,C6,C3,H2,H2,C3,A16,H7,C3,H7,C3,C3,D4,C9,C3,C3,C3,C6,H2,H2,C6,D4,C6,B10,B10,B10,C6,D4,
,,,,,,B15,H7,H7,H7,H7,H7,H7,H7,,,B15,C9,,,,C3,C6,,H2,H2,C3,C6,A16,A4,A16,H7,C3,H2,A16,C3,D4,C6,H2,C3,C6,C6,H7,C9,C6,D4,D4,D4,D4,D4,C9,
,,A4,,,,B15,H7,H7,H7,H7,B15,H7,H7,,,,,,,,C6,H2,C3,C6,C3,H7,H7,C6,A16,C9,C3,H2,C6,C6,A16,C3,C6,H2,C3,C9,C3,C9,C3,C9,C6,C9,C9,C9,C3,C6,
A4,A4,A4,,,H7,B15,,H7,H7,,H7,B15,H7,,,,,A16,A16,,H2,C3,H2,C9,H7,C9,D4,C9,C9,C3,C3,C3,C6,,C3,C6,H2,C3,C9,H2,C3,C3,C9,C6,C3,C6,C6,C3,C6,D4,
