,,,,,,B15,,B15,,B15,,B15,,B15,,B15,,B15,,B15,,B15,,B15,,B15,,B15,,B15,,B15,,,,,,,,,,B8,B8,B8,,D17,H18,B15,,,
,,,,,,B15,B15,B15,B15,B15,B15,B15,B15,B15,B15,B15,,B15,,B15,,B15,,B15,B15,B15,B15,B15,B15,B15,B15,B15,B15,,,,,,,,,C2,C2,C2,,,H18,B15,,,
,,,,,G19,B15,B15,B15,B15,B15,B15,B15,B15,B15,B15,B15,B15,B15,B15,B15,B15,B15,B15,B15,B15,B15,B15,B15,B15,B15,B15,B15,B15,B8,,,,,,,,C2,C2,C2,,H18,D17,B15,B15,,
,,,,,,B15,B15,,B15,,B15,,B15,,B15,B15,B15,B15,B15,B15,B15,B15,B15,B15,B15,B15,B15,,B15,,B15,,B15,,,,B15,,,,,C2,C2,C2,,,D17,B15,,,
,,,,,,,G19,,A20,,G19,,B8,,B3,,B3,,B3,,B3,,B3,,B3,,B3,,B3,,B3,,B3,,,B15,B8,,,,,,,,,D17,G19,G19,B3,,
,,,,,,,,,,,,,,,A20,,B3,,A20,,B3,,B3,,B3,,B3,,B3,,B3,,B3,,,B8,B8,,,,,C23,B8,B8,,,B3,B3,,,
,,,,,,,,,,G13,G19,A20,A20,,,,,,,,,,,,,,,,,,,,,,B15,B8,,,,,,C2,C2,C2,,B3,B3,,,,
,,,,,,,,,G13,G19,A20,A20,A20,A20,A20,A20,A20,A20,A20,A20,G19,,,,G13,A20,G13,,,,,,,,B15,B8,,,,,,C2,C2,C2,,,A20,A20,,,
,,,,,A20,A20,A20,,A20,A20,A20,A20,A20,G13,G13,A20,A20,G19,G13,A20,G13,A20,G19,G13,G19,G19,G19,G19,,,,,,,B15,B15,B15,,,,,C2,C2,C2,,A20,G19,,,,
,,A20,A20,A20,A20,A20,A20,A20,G13,A20,G13,G13,G19,A20,G19,G19,A20,G13,A20,G13,G19,G13,A20,G19,G13,B8,B8,B8,,,,,,,B15,B15,B8,,,,,,,,,,G19,B8,B8,,
,G13,G19,G13,B3,G19,G13,A20,G13,A20,G13,G19,C2,G13,G19,G13,A20,G13,A20,G19,A20,G13,A20,,,,B8,B8,B8,,,,,,B15,B15,B8,B15,,,,,,,,,G19,B8,C2,,,
,G19,A20,B3,G19,,,,A20,G13,B5,B5,B5,B8,G13,C2,G13,B5,B5,B5,B5,A20,G13,G13,B5,B5,B5,B5,B5,B5,,,,,B15,B15,B8,B15,,,,,,,,,,C2,B3,B3,B8,
G19,A20,B3,G19,G19,C2,C2,G19,C2,B8,B5,B5,B5,B5,B5,B5,B5,B5,B5,B5,B5,B5,B5,B5,B5,B5,B5,B5,B5,B5,,,,B15,B8,B15,,B8,,,,,,,,,B3,B3,B3,B8,,
,B3,,G19,,G19,,G19,,B8,,B5,,B5,,B5,,B5,,B5,,B5,,B5,,B5,,B5,,,,,,B15,B8,B8,,B8,B15,,,,,,,,,B5,B5,B8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B15,B8,B8,B15,,B8,B8,,,,,,,,B5,B5,,B5,B5,
,,,,,,,,,,,,,,B8,B3,B3,,,,,,,,,,,,,,,,B15,B8,B8,B15,B15,B8,B8,,,,,,,,,,,,,
,,,,,,H18,H18,C23,,,,B8,B3,B3,B3,B3,B8,B3,,,,,,,,,,,,,,B15,B8,B8,B8,B15,B8,B8,,,,,,,,,,,,,
,,,,,,H18,H18,C23,,,B8,B3,B3,B8,D17,C2,C2,B3,B3,,,B8,B8,,,,,,,,,B15,B15,B8,B8,B15,B15,B8,B15,,,,,,,,,,,,
,,,,,,H18,H18,C23,,,,B8,D17,,C2,C2,C2,C2,C2,,B8,B3,B3,B8,B3,,,,,,,B15,B15,B8,B15,,B8,B15,,,,,,,,,H18,C23,C23,C23,C23
,,,,,,,,,,,B8,D17,C2,,C2,C2,C2,A20,C2,C2,B3,B3,B3,B3,B3,B3,B5,B8,C2,B3,B3,,B15,B15,,C2,B15,B3,,,,,,,,H18,C23,C23,C23,,
,,,,,,,,,,,C2,C2,C2,,A20,D17,C2,D17,A20,C2,D17,G19,A20,A20,A20,B3,B3,C2,B3,B3,C2,B3,B3,C2,C2,B3,B3,C2,,,,H18,,,,H18,C23,,C23,,
