schemaVersion,transactionId,warehouseId,type,createdAt,note,projectId,patternId,imagePath,colorKey,hex,delta,before,after
1,8cb2bc0e-6131-4f42-af32-9a86c152d832,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image3,results/processing/3.done-images/Image3.PNG,F5,#E7002F,-64,541,477
1,8cb2bc0e-6131-4f42-af32-9a86c152d832,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image3,results/processing/3.done-images/Image3.PNG,H7,#000000,-54,541,487
1,8cb2bc0e-6131-4f42-af32-9a86c152d832,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image3,results/processing/3.done-images/Image3.PNG,A13,#FFC365,-53,541,488
1,8cb2bc0e-6131-4f42-af32-9a86c152d832,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image3,results/processing/3.done-images/Image3.PNG,F8,#BC0028,-59,541,482
1,e13bd996-4d52-4e21-a662-36d20541f983,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image6,results/processing/3.done-images/Image6.PNG,B8,#1C9C4F,-297,541,244
1,e13bd996-4d52-4e21-a662-36d20541f983,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image6,results/processing/3.done-images/Image6.PNG,H7,#000000,-285,487,202
1,e13bd996-4d52-4e21-a662-36d20541f983,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image6,results/processing/3.done-images/Image6.PNG,H2,#FEFFFF,-136,541,405
1,e13bd996-4d52-4e21-a662-36d20541f983,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image6,results/processing/3.done-images/Image6.PNG,F5,#E7002F,-85,477,392
1,59069ecb-e7c7-4414-b2aa-acf49159226d,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image8,results/processing/3.done-images/Image8.PNG,G5,#EDB045,-245,541,296
1,59069ecb-e7c7-4414-b2aa-acf49159226d,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image8,results/processing/3.done-images/Image8.PNG,A4,#FBED56,-176,541,365
1,59069ecb-e7c7-4414-b2aa-acf49159226d,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image8,results/processing/3.done-images/Image8.PNG,F5,#E7002F,-117,392,275
1,59069ecb-e7c7-4414-b2aa-acf49159226d,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image8,results/processing/3.done-images/Image8.PNG,F10,#8A4526,-74,541,467
1,59069ecb-e7c7-4414-b2aa-acf49159226d,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image8,results/processing/3.done-images/Image8.PNG,A6,#FEAC4C,-55,541,486
1,59069ecb-e7c7-4414-b2aa-acf49159226d,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image8,results/processing/3.done-images/Image8.PNG,F8,#BC0028,-20,482,462
1,59069ecb-e7c7-4414-b2aa-acf49159226d,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image8,results/processing/3.done-images/Image8.PNG,G13,#B7714A,-12,541,529
1,59069ecb-e7c7-4414-b2aa-acf49159226d,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image8,results/processing/3.done-images/Image8.PNG,F7,#971937,-6,541,535
1,6e5004bc-72e1-47a4-bd57-c3458ace57aa,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image21,results/processing/3.done-images/Image21.PNG,G13,#B7714A,-279,529,250
1,6e5004bc-72e1-47a4-bd57-c3458ace57aa,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image21,results/processing/3.done-images/Image21.PNG,G8,#753832,-174,541,367
1,6e5004bc-72e1-47a4-bd57-c3458ace57aa,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image21,results/processing/3.done-images/Image21.PNG,H2,#FEFFFF,-107,405,298
1,6e5004bc-72e1-47a4-bd57-c3458ace57aa,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image21,results/processing/3.done-images/Image21.PNG,G14,#8D614C,-61,541,480
1,6e5004bc-72e1-47a4-bd57-c3458ace57aa,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image21,results/processing/3.done-images/Image21.PNG,F3,#F74941,-27,541,514
