hex,brand,paletteName,color_key,needed,owned,missing,remaining_after_project
#FBED56,MARD,96,A4,213,541,0,328
#FFC365,MARD,96,A13,147,541,0,394
#FD543D,MARD,96,A14,95,541,0,446
#E3E1EE,MARD,96,D16,853,541,312,-312
#F13D74,MARD,96,E6,53,541,0,488
#F78FC3,MARD,96,E12,569,541,28,-28
#E7002F,MARD,96,F5,56,541,0,485
#971937,MARD,96,F7,153,541,0,388
#BC0028,MARD,96,F8,105,541,0,436
#E2677A,MARD,96,F9,71,541,0,470
#F35744,MARD,96,F13,3,541,0,538
#FDFBFF,MARD,96,H1,66,541,0,475
#FEFFFF,MARD,96,H2,1,541,0,540
#B6B1BA,MARD,96,H3,1,541,0,540
#000000,MARD,96,H7,114,541,0,427
