色号,原221仓库存_颗_不含亚麻96仓,新购221套装_颗,新购H2_H7赠品_颗,新单买合计_颗,后续追加_颗,现有库存_颗
A1,1000,1000,0,0,0,2000
A2,1000,1000,0,0,0,2000
A3,1000,1000,0,0,0,2000
A4,1000,1000,0,0,0,2000
A5,1000,1000,0,0,0,2000
A6,1000,1000,0,0,0,2000
A7,1000,1000,0,0,0,2000
A8,1000,1000,0,0,0,2000
A9,1000,1000,0,0,0,2000
A10,1000,1000,0,0,0,2000
A11,1000,1000,0,0,0,2000
A12,1000,1000,0,0,0,2000
A13,1000,1000,0,0,0,2000
A14,1000,1000,0,0,0,2000
A15,1000,1000,0,0,0,2000
A16,1000,1000,0,0,0,2000
A17,1000,1000,0,0,0,2000
A18,1000,1000,0,0,0,2000
A19,1000,1000,0,0,0,2000
A20,2000,1000,0,0,0,3000
A21,1000,1000,0,0,0,2000
A22,1000,1000,0,0,0,2000
A23,1000,1000,0,0,0,2000
A24,1000,1000,0,0,0,2000
A25,1000,1000,0,0,0,2000
A26,1000,1000,0,0,0,2000
B1,1000,1000,0,0,0,2000
B2,1000,1000,0,0,0,2000
B3,1000,1000,0,0,0,2000
B4,1000,1000,0,0,0,2000
B5,1000,1000,0,0,0,2000
B6,1000,1000,0,0,0,2000
B7,1000,1000,0,0,0,2000
B8,1000,1000,0,0,0,2000
B9,1000,1000,0,0,1200,3200
B10,1000,1000,0,0,0,2000
B11,1000,1000,0,0,0,2000
B12,1000,1000,0,0,0,2000
B13,1000,1000,0,0,0,2000
B14,1000,1000,0,0,0,2000
B15,1000,1000,0,2000,0,4000
B16,1000,1000,0,0,0,2000
B17,2000,1000,0,2000,0,5000
B18,1000,1000,0,0,0,2000
B19,1000,1000,0,0,0,2000
B20,1000,1000,0,0,0,2000
B21,1000,1000,0,0,0,2000
B22,1000,1000,0,0,0,2000
B23,1000,1000,0,0,0,2000
B24,1000,1000,0,0,0,2000
B25,1000,1000,0,0,0,2000
B26,1000,1000,0,0,0,2000
B27,1000,1000,0,0,0,2000
B28,1000,1000,0,0,0,2000
B29,1000,1000,0,0,0,2000
B30,1000,1000,0,0,0,2000
B31,1000,1000,0,0,0,2000
B32,1000,1000,0,0,0,2000
C1,1000,1000,0,0,0,2000
C2,1000,1000,0,0,1200,3200
C3,1000,1000,0,1000,1200,4200
C4,1000,1000,0,0,0,2000
C5,1000,1000,0,0,0,2000
C6,1000,1000,0,1000,1200,4200
C7,1000,1000,0,3000,0,5000
C8,1000,1000,0,0,0,2000
C9,1000,1000,0,0,0,2000
C10,1000,1000,0,0,0,2000
C11,1000,1000,0,0,0,2000
C12,1000,1000,0,0,0,2000
C13,1000,1000,0,0,0,2000
C14,1000,1000,0,0,0,2000
C15,1000,1000,0,0,0,2000
C16,1000,1000,0,2000,1200,5200
C17,1000,1000,0,0,0,2000
C18,1000,1000,0,0,0,2000
C19,1000,1000,0,0,0,2000
C20,1000,1000,0,0,0,2000
C21,1000,1000,0,0,0,2000
C22,1000,1000,0,0,0,2000
C23,1000,1000,0,0,0,2000
C24,1000,1000,0,1000,0,3000
C25,1000,1000,0,0,0,2000
C26,1000,1000,0,0,0,2000
C27,1000,1000,0,0,0,2000
C28,1000,1000,0,0,0,2000
C29,1000,1000,0,0,0,2000
D1,1000,1000,0,0,1200,3200
D2,1000,1000,0,0,0,2000
D3,2000,1000,0,0,0,3000
D4,1000,1000,0,1000,1200,4200
D5,1000,1000,0,0,0,2000
D6,1000,1000,0,0,0,2000
D7,1000,1000,0,0,0,2000
D8,1000,1000,0,0,0,2000
D9,1000,1000,0,0,0,2000
D10,1000,1000,0,0,0,2000
D11,1000,1000,0,0,0,2000
D12,1000,1000,0,0,0,2000
D13,1000,1000,0,0,0,2000
D14,1000,1000,0,0,0,2000
D15,1000,1000,0,0,0,2000
D16,1000,1000,0,0,0,2000
D17,1000,1000,0,0,0,2000
D18,1000,1000,0,0,0,2000
D19,1000,1000,0,0,0,2000
D20,1000,1000,0,0,0,2000
D21,1000,1000,0,0,0,2000
D22,1000,1000,0,0,0,2000
D23,1000,1000,0,0,0,2000
D24,1000,1000,0,0,0,2000
D25,1000,1000,0,0,0,2000
D26,1000,1000,0,0,0,2000
E1,1000,1000,0,0,0,2000
E2,2000,1000,0,3000,0,6000
E3,1000,1000,0,0,0,2000
E4,1000,1000,0,0,0,2000
E5,1000,1000,0,0,0,2000
E6,1000,1000,0,0,0,2000
E7,1000,1000,0,0,0,2000
E8,1000,1000,0,0,0,2000
E9,1000,1000,0,0,0,2000
E10,1000,1000,0,0,0,2000
E11,1000,1000,0,0,0,2000
E12,1000,1000,0,0,0,2000
E13,1000,1000,0,0,0,2000
E14,1000,1000,0,0,0,2000
E15,1000,1000,0,0,0,2000
E16,1000,1000,0,0,0,2000
E17,1000,1000,0,0,0,2000
E18,1000,1000,0,0,0,2000
E19,1000,1000,0,0,0,2000
E20,1000,1000,0,0,0,2000
E21,1000,1000,0,0,0,2000
E22,1000,1000,0,0,0,2000
