色号,现有库存_颗,legend需求_颗,summary_tot0913需求_颗,总需求_颗,剩余_颗_负数为缺货,缺失数量_颗
G13,2000,871,987,1858,142,0
G17,2000,724,664,1388,612,0
E3,2000,380,979,1359,641,0
G6,2000,127,1218,1345,655,0
G1,2000,765,539,1304,696,0
D2,2000,14,1289,1303,697,0
E2,6000,1358,3944,5302,698,0
G20,2000,124,1176,1300,700,0
B8,2000,126,1120,1246,754,0
G9,2000,387,837,1224,776,0
H16,5200,2732,1686,4418,782,0
C12,2000,382,834,1216,784,0
G10,2000,0,1209,1209,791,0
A7,2000,732,472,1204,796,0
A4,2000,363,797,1160,840,0
C24,3000,92,2044,2136,864,0
F8,3000,1696,433,2129,871,0
G4,2000,424,662,1086,914,0
G14,2000,729,316,1045,955,0
D10,2000,0,1040,1040,960,0
H6,3200,943,1296,2239,961,0
H5,2000,468,569,1037,963,0
C13,2000,9,1013,1022,978,0
G11,2000,11,1006,1017,983,0
C20,2000,17,989,1006,994,0
B12,2000,0,993,993,1007,0
A1,2000,240,740,980,1020,0
C28,2000,3,938,941,1059,0
F14,2000,215,723,938,1062,0
F22,2000,554,377,931,1069,0
M15,2000,408,508,916,1084,0
E16,2000,471,443,914,1086,0
F5,2000,84,825,909,1091,0
C8,2000,60,848,908,1092,0
A5,2000,45,842,887,1113,0
H3,2000,456,385,841,1159,0
C27,2000,0,834,834,1166,0
B20,2000,0,825,825,1175,0
B11,2000,152,670,822,1178,0
G8,3200,638,1374,2012,1188,0
B5,2000,18,790,808,1192,0
D11,2000,123,684,807,1193,0
D17,2000,79,715,794,1206,0
D24,2000,0,788,788,1212,0
E19,2000,66,713,779,1221,0
H1,2000,28,742,770,1230,0
B15,4000,1818,949,2767,1233,0
M4,2000,579,173,752,1248,0
M7,2000,613,136,749,1251,0
H18,2000,0,734,734,1266,0
A10,2000,434,294,728,1272,0
A20,3000,728,997,1725,1275,0
A13,2000,180,539,719,1281,0
A8,2000,189,521,710,1290,0
A6,2000,108,601,709,1291,0
E12,2000,432,273,705,1295,0
A2,2000,0,691,691,1309,0
C4,2000,13,677,690,1310,0
B19,2000,123,560,683,1317,0
E5,2000,35,638,673,1327,0
M12,2000,149,524,673,1327,0
B10,2000,0,648,648,1352,0
C7,5000,28,3620,3648,1352,0
C18,2000,2,646,648,1352,0
H21,2000,0,639,639,1361,0
B21,2000,0,634,634,1366,0
C23,2000,0,633,633,1367,0
B22,2000,0,629,629,1371,0
C14,2000,0,615,615,1385,0
H2,16000,4453,10158,14611,1389,0
H9,3000,1142,463,1605,1395,0
B23,2000,0,587,587,1413,0
M9,2000,524,59,583,1417,0
B17,5000,1861,1720,3581,1419,0
G5,2000,0,579,579,1421,0
B26,2000,8,566,574,1426,0
G21,2000,181,388,569,1431,0
F11,4200,1387,1363,2750,1450,0
H4,2000,320,217,537,1463,0
M2,2000,379,153,532,1468,0
D19,2000,146,365,511,1489,0
