colorKey,ownedCount,note
A3,541,
A4,541,
A6,541,
A7,541,
A10,541,
A11,541,
A13,541,
A14,541,
B3,541,
B5,541,
B7,541,
B8,541,
B10,541,
B12,541,
B14,541,
B17,541,
B18,541,
B19,541,
B20,541,
C2,541,
C3,541,
C5,541,
C6,541,
C7,541,
C8,541,
C10,541,
C11,541,
C13,541,
C16,541,
D2,541,
D3,541,
D5,541,
D6,541,
D7,541,
D8,541,
D9,541,
D11,541,
D12,541,
D13,541,
D14,541,
D15,541,
D16,541,
D18,541,
D19,541,
D20,541,
D21,541,
E1,541,
E2,541,
E3,541,
E4,541,
E5,541,
E6,541,
E7,541,
E8,541,
E9,541,
E10,541,
E11,541,
E12,541,
E13,541,
E14,541,
E15,541,
F1,541,
F2,541,
F3,541,
F4,541,
F5,541,
F6,541,
F7,541,
F8,541,
F9,541,
F10,541,
F11,541,
F12,541,
F13,541,
F14,541,
G1,541,
G2,541,
G3,541,
G5,541,
G7,541,
G8,541,
G9,541,
G13,541,
G14,541,
G17,541,
H1,541,
H2,841,base 541 + white extra 300
H3,541,
H4,541,
H5,541,
H6,541,
H7,841,base 541 + black extra 300
M5,541,
M6,541,
M9,541,
M12,541,
A1,1000,buy need11 Image31 need11
A12,1000,buy need6 Image26 need6
A18,1000,buy need29 Image15 need29
A20,1000,buy need15 Image30 need15
A5,1000,buy need37 Image10 need37
A8,1000,buy need54 Image15 need54
B25,1000,buy need20 Image15 need20
D17,1000,buy need6 Image24 need6
E16,1000,buy need415 Image10 need244; Image19 need171
E2,1000,buy need313 Image24 need313
F11,1000,buy need57 Image24 need57
F15,1000,buy need28 Image31 need28
F21,1000,buy need55 Image24 need53; Image33 need2
F22,1000,buy need316 Image30 need316
F24,1000,buy need4 Image26 need4
G11,1000,buy need11 Image31 need11
G13,1000,buy need192 Image10 need192
G16,1000,buy need66 Image24 need66
G18,1000,buy need403 Image26 need403
G19,1000,buy need122 Image26 need26; Image19 need84; Image8 need12
G4,1000,buy need254 Image35 need254
G6,1000,buy need25 Image24 need25
H11,1000,buy need183 Image22 need183
H2,1000,buy need647 Image28 need484; Image17 need12; Image31 need8; Image10 need52; Image35 need91
H7,1000,buy need77 Image31 need77
M1,1000,buy need31 Image9 need31
M14,1000,buy need3 Image32 need3
M2,1000,buy need23 Image15 need23
M4,1000,buy need2 Image26 need2
M7,1000,buy need25 Image30 need25
