colorKey,need,buyCount,note
A1,110,1000,Image1:99;Image31 need11
A4,50,1000,Image5:50
A5,45,1000,Image5:8;Image10 need37
A7,122,1000,all selected shortage
A8,54,1000,Image15 need54
A12,6,1000,Image26 need6
A18,29,1000,Image15 need29
A20,563,1000,Image5:548;Image30 need15
A22,103,1000,Image23:103
A23,22,1000,Image1:22
B1,191,1000,Image23:191
B5,18,1000,Image5:18
B8,122,1000,Image5:122
B14,45,1000,Image5:45
B17,1819,2000,Image23:1819
B18,101,1000,Image23:101
B25,20,1000,Image15 need20
B26,8,1000,Image27 need8
B29,220,1000,Image23:220
C4,13,1000,Image4 need13
C5,4,1000,Image1:4
C6,56,1000,Image1:56
C7,8,1000,Image5:8
C10,22,1000,Image1:22
C12,382,1000,Image25:382
C13,9,1000,Image1:9
C16,8,1000,Image1:8
C18,2,1000,Image1:2
C20,17,1000,Image1:17
C24,92,1000,Image1:92
C26,41,1000,Image1:41
C28,3,1000,Image1:3
C29,90,1000,Image20:90
D1,11,1000,Image1:11
D2,10,1000,Image1:10
D3,518,1000,Image20:518
D4,471,1000,Image20:471
D8,46,1000,Image1:46
D11,123,1000,Image1:123
D12,54,1000,Image1:54
D15,6,1000,Image5:6
D16,3,1000,Image1:3
D17,79,1000,Image1:73;Image24 need6
D19,146,1000,Image1:146
D26,92,1000,Image1:92
E1,68,1000,Image1:68
E2,524,1000,Image1:211;Image24 need313
E3,322,1000,Image1:322
E10,54,1000,Image1:54
E12,12,1000,Image1:12
E14,55,1000,Image1:55
E15,68,1000,Image1:68
E16,416,1000,Image5:1;Image10 need244; Image19 need171
E18,158,1000,Image1:158
E19,66,1000,Image1:66
E20,113,1000,Image1:113
E22,5,1000,Image1:5
E23,55,1000,Image1:5;Image16:50
F5,61,1000,Image5:61
F6,40,1000,Image25:10;Image34:30
F7,3,1000,Image34:3
F8,1649,2000,Image25:1649
F10,65,1000,Image34:59;Image16:6
F11,696,1000,Image34:486;Image5:153;Image24 need57
F14,27,1000,Image1:12;Image5:15
F15,2162,3000,Image7:2134;Image31 need28
F16,13,1000,Image1:13
F21,101,1000,Image1:46;Image24 need53; Image33 need2
F22,430,1000,Image1:114;Image30 need316
F24,4,1000,Image26 need4
G1,62,1000,Image1:56;Image5:6
G2,31,1000,Image1:31
G4,420,1000,Image34:13;Image16:67;Image5:86;Image35 need254
G6,36,1000,Image5:11;Image24 need25
G7,1059,2000,Image34:91;Image1:3;Image16:11;Image5:954
G8,200,1000,Image34:99;Image1:1;Image16:6;Image5:94
G11,11,1000,Image31 need11
G13,351,1000,Image34:25;Image1:3;Image16:21;Image5:110;Image10 need192
G14,674,1000,Image25:61;Image34:426;Image1:49;Image16:19;Image5:119
G16,82,1000,Image5:16;Image24 need66
G17,377,1000,Image25:163;Image34:208;Image1:6
G18,1516,2000,Image12:1113;Image26 need403
G19,122,1000,Image26 need26; Image19 need84; Image8 need12
G20,16,1000,Image16:16
G21,72,1000,Image34:33;Image1:2;Image16:22;Image5:15
H1,1,1000,Image5:1
H2,2166,3000,Image20:1420;Image25:46;Image5:53;Image28 need484; Image17 need12; Image31 need8; Image10 need52; Image35 need91
H3,120,1000,Image2:27;Image1:77;Image5:16
H4,131,1000,Image2:44;Image1:29;Image5:58
H5,156,1000,Image2:91;Image25:53;Image1:8;Image5:4
H6,461,1000,Image2:1;Image16:460
H7,1838,2000,Image7:170;Image12:1591;Image31 need77
H9,1140,2000,Image16:1066;Image5:74
H10,67,1000,Image2:67
H11,274,1000,Image2:38;Image1:6;Image16:47;Image22 need183
H12,270,1000,Image23:270
H14,12,1000,Image1:12
H15,7,1000,Image1:7
H16,2513,3000,Image2:2144;Image34:366;Image1:3
H20,14,1000,Image1:14
H23,152,1000,Image25:23;Image34:53;Image1:2;Image16:74
M1,67,1000,Image34:36;Image9 need31
M2,23,1000,Image15 need23
M3,13,1000,Image34:10;Image1:3
M4,579,1000,Image34:10;Image16:567;Image26 need2
M5,45,1000,Image16:45
M6,3,1000,Image16:3
M7,611,1000,Image2:56;Image25:177;Image34:171;Image1:25;Image16:157;Image30 need25
M8,82,1000,Image34:14;Image1:20;Image16:48
M9,498,1000,Image25:100;Image34:366;Image1:23;Image16:9
M10,37,1000,Image1:37
M12,149,1000,Image2:5;Image34:120;Image1:14;Image16:10
M14,3,1000,Image32 need3
M15,374,1000,Image2:231;Image25:40;Image34:85;Image1:18


